"index","word","meaning","furi","pos","e.g.","e.g.[voc]","e.g.[eng]"
"163","場合","situation, case","場合[ばあい]","Noun","分[わ]からない<b> 場合[ばあい]</b>は 私[わたし]に 聞[き]いてください。","分からない<b>場合</b>は私に聞いてください。","Please ask me if you don't understand."
"164","車","car, automobile","車[くるま]","Noun","弟[おとうと]が<b> 車[くるま]</b>を 買[か]った。","弟が<b>車</b>を買った。","My younger brother bought a car."
"165","電車","train","電車[でんしゃ]","Noun","私[わたし]は<b> 電車[でんしゃ]</b>で 通学[つうがく]しています。","私は<b>電車</b>で通学しています。","I go to school by train."
"166","駅","railway station","駅[えき]","Noun","<b> 駅[えき]</b>はどこですか。","<b>駅</b>はどこですか。","Where's the station?"
"167","道","way, road, street","道[みち]","Noun","この<b> 道[みち]</b>を 真[ま]っ 直[す]ぐ 行[い]くと 駅[えき]です。","この<b>道</b>を真っ直ぐ行くと駅です。","Go straight along this road to get to the station."
"168","他","other","他[ほか]","Noun","<b> 他[ほか]</b>に 方法[ほうほう]がありません。","<b>他</b>に方法がありません。","There's no other way."
"169","止める","stop, give up, abolish","止[や]める","Verb","話[はな]すのを<b> 止[や]めて</b>ください。","話すのを<b>止めて</b>ください。","Stop talking, please."
"170","ここ","here","ここ","Pronoun","<b>ここ</b>に 本[ほん]があります。","<b>ここ</b>に本があります。","There's a book here."
"171","歩く","walk, go on foot","歩[ある]く","Verb","駅[えき]まで<b> 歩[ある]きましょう</b>。","駅まで<b>歩きましょう</b>。","Let's walk to the station."
"172","走る","run","走[はし]る","Verb","彼[かれ]は 毎晩3[まいばん さん]キロ<b> 走[はし]っています</b>。","彼は毎晩3キロ<b>走っています</b>。","Every night he runs three kilometers."
"173","近く","near, close to","近[ちか]く","Adverb","駅[えき]の<b> 近[ちか]く</b>で 食事[しょくじ]をした。","駅の<b>近く</b>で食事をした。","I ate near the station."
"174","近い","near, close","近[ちか]い","Adjective","駅[えき]はここから<b> 近[ちか]い</b>です。","駅はここから<b>近い</b>です。","The station is near here."
"175","近く","vicinity, nearby","近[ちか]く","Noun","私[わたし]の 家[いえ]は 駅[えき]の<b> 近[ちか]く</b>です。","私の家は駅の<b>近く</b>です。","My house is near the station."
"176","遠い","far, distant","遠[とお]い","Adjective","家[いえ]から 学校[がっこう]までは<b> 遠[とお]い</b>です。","家から学校までは<b>遠い</b>です。","It's a long way from my house to the school."
"177","長い","long","長[なが]い","Adjective","彼女[かのじょ]の 髪[かみ]はとても<b> 長[なが]い</b>。","彼女の髪はとても<b>長い</b>。","Her hair is very long."
"178","短い","short, brief","短[みじか]い","Adjective","彼[かれ]は 足[あし]が<b> 短[みじか]い</b>。","彼は足が<b>短い</b>。","His legs are short."
"179","広い","wide, big","広[ひろ]い","Adjective","彼[かれ]の 家[いえ]はとても<b> 広[ひろ]い</b>。","彼の家はとても<b>広い</b>。","His house is very big."
"180","もらう","receive","もらう","Verb","彼女[かのじょ]からプレゼントを<b>もらいました</b>。","彼女からプレゼントを<b>もらいました</b>。","I got a present from her."
"181","全部","all, wholly","全部[ぜんぶ]","Adverb","それ、<b> 全部[ぜんぶ]</b>ください。","それ、<b>全部</b>ください。","I'd like all of those, please."
"182","国","country","国[くに]","Noun","私[わたし]の<b> 国[くに]</b>について 少[すこ]しお 話[はなし]しましょう。","私の<b>国</b>について少しお話しましょう。","Let me tell you a bit about my country."
"183","白い","white, blank (for paper)","白[しろ]い","Adjective","彼[かれ]は 歯[は]が<b> 白[しろ]い</b>。","彼は歯が<b>白い</b>。","His teeth are white."
"184","赤い","red","赤[あか]い","Adjective","<b> 赤[あか]い</b>バラを 買[か]いました。","<b>赤い</b>バラを買いました。","I bought a red rose."
"185","部屋","room","部屋[へや]","Noun","私[わたし]の<b> 部屋[へや]</b>は 2階[にかい]にあります。","私の<b>部屋</b>は2階にあります。","My room is on the second floor."
"186","米","rice (grain)","米[こめ]","Noun","日本人[にほんじん]はお<b> 米[こめ]</b>が 大好[だいす]きです。","日本人はお<b>米</b>が大好きです。","Japanese people love rice."
"187","まだ","(not) yet, still","まだ","Adverb","宿題[しゅくだい]は<b>まだ</b> 終[お]わっていません。","宿題は<b>まだ</b>終わっていません。","I haven't finished my homework yet."
"188","ある","exist, possess","ある","Verb","私[わたし]の 机[つくえ]の 上[うえ]に 書類[しょるい]がたくさん<b> あります</b>。","私の机の上に書類がたくさん<b>あります</b>。","There are a lot of documents on my desk."
"189","無い","to not be","無[な]い","Adjective","ここには 何[なに]も<b> 無[な]い</b>。","ここには何も<b>無い</b>。","There's nothing here."
"190","とても","very","とても","Adverb","この 本[ほん]は<b>とても</b>おもしろい。","この本は<b>とても</b>おもしろい。","This book is very interesting."
"191","作る","make, create","作[つく]る","Verb","今[いま]、 朝[あさ]ご 飯[はん]を<b> 作[つく]っています</b>。","今、朝ご飯を<b>作っています</b>。","I'm making breakfast now."
"192","使う","use","使[つか]う","Verb","このパソコンを<b> 使[つか]って</b>ください。","このパソコンを<b>使って</b>ください。","Please use this computer."
"193","消す","erase, turn off","消[け]す","Verb","昼間[ひるま]は 電気[でんき]を<b> 消[け]して</b>ください。","昼間は電気を<b>消して</b>ください。","Please turn the lights off during the day."
"194","売る","sell を","売[う]る","Verb","彼[かれ]は 家[いえ]を<b> 売[う]った</b>。","彼は家を<b>売った</b>。","He sold the house."
"195","店","shop, store","店[みせ]","Noun","私[わたし]はこの<b> 店[みせ]</b>によく 来[き]ます。","私はこの<b>店</b>によく来ます。","I come to this store quite often."
"196","春","spring","春[はる]","Noun","今年[ことし]の<b> 春[はる]</b>は 暖[あたた]かいね。","今年の<b>春</b>は暖かいね。","It's warm this spring, isn't it."
"197","夏","summer","夏[なつ]","Noun","私[わたし]は<b> 夏[なつ]</b>が 大好[だいす]き。","私は<b>夏</b>が大好き。","I just love summer."
"198","秋","autumn, fall","秋[あき]","Noun","彼女[かのじょ]は<b> 秋[あき]</b>に 結婚[けっこん]します。","彼女は<b>秋</b>に結婚します。","She'll get married this fall."
"199","冬","winter","冬[ふゆ]","Noun","カナダの<b> 冬[ふゆ]</b>はとても 寒[さむ]いです。","カナダの<b>冬</b>はとても寒いです。","Canada's winters are very cold."
"200","みんな","all, everybody","みんな","Noun","<b>みんな</b>にお 菓子[かし]をあげましょう。","<b>みんな</b>にお菓子をあげましょう。","Let's give everyone some sweets."
"201","暑い","hot (temperature of the air)","暑[あつ]い","Adjective","今日[きょう]はとても<b> 暑[あつ]い</b>。","今日はとても<b>暑い</b>。","It's very hot today."
"202","熱い","hot (things, touch)","熱[あつ]い","Adjective","このスープはとても<b> 熱[あつ]い</b>。","このスープはとても<b>熱い</b>。","This soup is very hot."
"203","寒い","cold (temperature of the air)","寒[さむ]い","Adjective","この 部屋[へや]は<b> 寒[さむ]い</b>です。","この部屋は<b>寒い</b>です。","It's cold in this room."
"204","暖かい","warm","暖[あたた]かい","Adjective","このコートはとても<b> 暖[あたた]かい</b>。","このコートはとても<b>暖かい</b>。","This coat is really warm."
"205","新しい","new","新[あたら]しい","Adjective","彼[かれ]の 車[くるま]は<b> 新[あたら]しい</b>。","彼の車は<b>新しい</b>。","His car is new."
"206","古い","old","古[ふる]い","Adjective","私[わたし]は<b> 古[ふる]い</b> 車[くるま]が 好[す]きです。","私は<b>古い</b>車が好きです。","I like old cars."
"207","良い","good","良[い]い","Adjective","彼女[かのじょ]は<b> 良[い]い</b> 友達[ともだち]です。","彼女は<b>良い</b>友達です。","She's a good friend."
"208","悪い","bad","悪[わる]い","Adjective","たばこは 体[からだ]に<b> 悪[わる]い</b>。","たばこは体に<b>悪い</b>。","Cigarettes are bad for your health."
"209","思う","think","思[おも]う","Verb","私[わたし]もそう<b> 思[おも]います</b>。","私もそう<b>思います</b>。","I think so too."
"210","いつも","always","いつも","Adverb","彼女[かのじょ]は<b>いつも</b> 元気[げんき]だ。","彼女は<b>いつも</b>元気だ。","She's always full of energy."
"211","忘れる","forget, leave behind","忘[わす]れる","Verb","約束[やくそく]を<b> 忘[わす]れないで</b>ください。","約束を<b>忘れないで</b>ください。","Please don't forget your promise."
"212","考える","think, consider","考[かんが]える","Verb","よく<b> 考[かんが]えて</b>ください。","よく<b>考えて</b>ください。","Please think carefully."
"213","決める","decide, agree upon","決[き]める","Verb","帰国[きこく]することに<b> 決[き]めました</b>。","帰国することに<b>決めました</b>。","I've decided to go back to my country."
"214","決まる","be decided","決[き]まる","Verb","旅行[りょこう]の 日程[にってい]が<b> 決[き]まりました</b>。","旅行の日程が<b>決まりました</b>。","I've decided on my travel schedule."
"215","知る","&nbsp;(get to) know, realize","知[し]る","Verb","誰[だれ]もその 話[はなし]を<b> 知[し]らない</b>。","誰もその話を<b>知らない</b>。","No one knows that story."
"216","一番","most","一番[いちばん]","Adverb","彼[かれ]はクラスで<b> 一番[いちばん]</b> 背[せ]が 高[たか]い。","彼はクラスで<b>一番</b>背が高い。","He's the tallest in class."
"217","住む","live, reside","住[す]む","Verb","彼[かれ]は 会社[かいしゃ]の 近[ちか]くに<b> 住[す]んでいる</b>。","彼は会社の近くに<b>住んでいる</b>。","He lives near his office."
"218","名前","name","名前[なまえ]","Noun","あなたの<b> 名前[なまえ]</b>を 教[おし]えてください。","あなたの<b>名前</b>を教えてください。","Please tell me your name."
"219","食べ物","food","食[た]べ 物[もの]","Noun","日本[にっぽん]の<b> 食[た]べ 物[もの]</b>はとても 美味[おい]しいです。","日本の<b>食べ物</b>はとても美味しいです。","Japanese food is very delicious."
"220","いつ","when","いつ","Noun","彼女[かのじょ]は<b>いつ</b> 来[き]ますか。","彼女は<b>いつ</b>来ますか。","When is she coming?"
"221","飲み物","beverage, drink","飲[の]み 物[もの]","Noun","何[なに]か<b> 飲[の]み 物[もの]</b>が 欲[ほ]しいな。","何か<b>飲み物</b>が欲しいな。","I could really use something to drink."
"222","重い","heavy, serious (illness)","重[おも]い","Adjective","このかばんは<b> 重[おも]い</b>です。","このかばんは<b>重い</b>です。","This bag is heavy."
